success,guesses,bombs,confidence,runtime
0,8,97,0.14285714285714285,3.1462385654449463
0,4,99,0.2,1.3986742496490479
0,3,99,0.2857142857142857,1.0988531112670898
0,1,99,0.375,0.500349760055542
0,16,2,0.5,48.63201379776001
0,1,99,0.25,0.5012702941894531
0,1,99,0.25,0.49915575981140137
0,1,99,0.125,0.4996023178100586
0,1,99,0.5,0.4996452331542969
0,10,67,0.16666666666666666,22.131320238113403
0,1,99,0.375,0.5001232624053955
0,2,99,0.2857142857142857,0.8000509738922119
0,14,8,0.3333333333333333,61.15046215057373
0,1,99,0.125,0.49707937240600586
0,1,99,0.375,0.49847412109375
0,1,99,0.375,0.5006701946258545
0,9,81,0.3333333333333333,14.284260272979736
0,4,99,0.2857142857142857,1.413994312286377
0,4,97,0.3333333333333333,1.9000589847564697
0,3,25,0.2857142857142857,42.4646520614624
0,11,99,0.2857142857142857,3.5017900466918945
0,5,92,0.14285714285714285,5.2316060066223145
0,17,98,0.14285714285714285,5.396023988723755
0,6,11,0.25,44.167776584625244
0,5,99,0.14285714285714285,1.6983754634857178
0,14,58,0.2,31.483542919158936
0,14,99,0.16666666666666666,4.432095050811768
1,12,0,0.5,51.450305700302124
0,1,99,0.25,0.49709081649780273
0,6,36,0.25,31.416682481765747
0,18,91,0.2,9.01577377319336
0,24,8,0.4,60.49887943267822
0,4,99,0.14285714285714285,1.3985555171966553
0,12,28,0.3333333333333333,35.265342235565186
0,5,99,0.14285714285714285,1.6995644569396973
0,10,99,0.38461538461538464,3.1976404190063477
0,44,31,0.4,50.06671142578125
0,18,31,0.3333333333333333,44.93086886405945
0,1,99,0.375,0.4999103546142578
0,5,73,0.14285714285714285,19.399202585220337
0,16,99,0.16666666666666666,4.998289346694946
0,1,99,0.625,0.5008773803710938
0,18,33,0.16666666666666666,50.716227293014526
0,14,99,0.14285714285714285,4.400482892990112
0,26,8,0.5,58.23226881027222
0,23,12,0.25,52.31516742706299
0,2,99,0.2857142857142857,0.8012998104095459
0,4,85,0.25,5.715231418609619
0,3,99,0.2857142857142857,1.1000282764434814
0,18,31,0.2727272727272727,46.70089650154114
0,1,99,0.5,0.4962773323059082
0,4,37,0.3333333333333333,36.084197759628296
0,1,99,0.375,0.4998891353607178
0,2,99,0.14285714285714285,0.7988631725311279
0,10,70,0.2857142857142857,22.33041214942932
0,7,60,0.14285714285714285,26.631638288497925
0,5,97,0.2,2.1987195014953613
1,13,0,0.5,58.617271184921265
0,1,99,0.125,0.4980499744415283
0,13,39,0.3333333333333333,41.182202100753784
0,3,74,0.2727272727272727,17.000353813171387
0,1,99,0.375,0.4966237545013428
0,4,53,0.25,22.700660467147827
0,14,4,0.5,60.03329038619995
1,25,0,0.4444444444444444,55.51735305786133
0,3,99,0.42857142857142855,1.0962309837341309
0,2,88,0.25,4.316224098205566
0,3,33,0.3333333333333333,38.03177356719971
0,3,99,0.14285714285714285,1.0995686054229736
0,1,99,0.375,0.499675989151001
0,2,99,0.14285714285714285,0.8010010719299316
0,14,44,0.14285714285714285,32.53107237815857
0,8,39,0.14285714285714285,35.666593074798584
0,9,93,0.16666666666666666,4.700376987457275
0,11,45,0.3333333333333333,49.030428886413574
0,4,99,0.16666666666666666,1.4013168811798096
0,11,4,0.5,57.18231511116028
0,23,1,0.5,64.73263454437256
0,6,99,0.2,2.0149662494659424
0,5,99,0.2857142857142857,1.7009289264678955
0,3,17,0.3333333333333333,53.098809480667114
0,21,67,0.16666666666666666,22.71452522277832
0,9,99,0.2608695652173913,2.8997278213500977
0,2,99,0.2857142857142857,0.7996852397918701
0,18,1,1.0,59.19923257827759
0,17,77,0.2727272727272727,13.032899856567383
0,2,99,0.14285714285714285,0.7978043556213379
0,6,26,0.3333333333333333,41.36758065223694
0,2,99,0.2857142857142857,0.7982287406921387
0,3,99,0.14285714285714285,1.0994112491607666
0,9,99,0.16666666666666666,2.8986051082611084
0,2,99,0.3333333333333333,0.8019866943359375
0,3,99,0.14285714285714285,1.0993435382843018
0,12,31,0.4,40.83111548423767
0,1,99,0.375,0.4992406368255615
0,1,99,0.125,0.4999232292175293
0,4,99,0.16666666666666666,1.4148268699645996
0,15,12,0.4,50.81580352783203
0,10,61,0.3333333333333333,24.632349729537964
0,19,51,0.14285714285714285,31.149126768112183
0.03,8.11,70.78,0.287343016886495,18.239865925312042
